City,Country
Vancouver,Canada
Portland,United States
San Francisco,United States
Seattle,United States
Los Angeles,United States
San Diego,United States
Las Vegas,United States
Phoenix,United States
Albuquerque,United States
Denver,United States
San Antonio,United States
Dallas,United States
Houston,United States
Kansas City,United States
Minneapolis,United States
Saint Louis,United States
Chicago,United States
Nashville,United States
Indianapolis,United States
Atlanta,United States
Detroit,United States
Jacksonville,United States
Charlotte,United States
Miami,United States
Pittsburgh,United States
Toronto,Canada
Philadelphia,United States
New York,United States
Montreal,Canada
Boston,United States
Beersheba,Israel
Tel Aviv District,Israel
Eilat,Israel
Haifa,Israel
Nahariyya,Israel
Jerusalem,Israel
